"sampleID","a_f1","a_f2","a_f3","a_f4","a_f5","b_f1","b_f2","b_f3","b_f4","b_f5","win"
91,9957,8981,6064,4122,491,9863,9021,6186,4316,948,1
92,10204,9171,6122,3809,867,9800,8886,5910,3906,971,1
93,11365,9095,5893,3861,1092,10418,8930,5934,3958,673,1
94,10801,8904,6150,3941,1363,8724,8824,6298,3941,1350,1
95,9604,8938,5992,4213,1141,9723,8408,5774,3888,948,0
96,10284,9019,6010,3944,1255,10642,8788,5683,3792,921,0
97,9092,9350,5979,4150,1000,8171,9012,6189,3909,1350,1
98,10703,8913,5775,3967,910,11958,9078,6145,4014,952,0
99,10778,8950,6031,3971,1163,9547,8892,6024,4082,769,1
100,11697,8807,5915,4078,679,9699,9243,6132,3886,1020,1
101,10332,9127,6022,3984,587,11228,8984,5991,3964,991,0
102,9620,9109,6113,3822,715,8891,9049,5854,4020,1343,1
103,10053,8996,6403,4246,802,10395,9066,5904,4108,1078,0
104,9598,9138,6068,4096,868,10666,9364,6159,3916,718,0
105,9339,8913,6093,4020,1099,10363,9083,5972,4150,868,0
106,10134,8924,5955,3966,1032,10278,8602,6144,4399,1599,1
107,9283,8947,6067,3913,1254,10485,9070,5826,3951,655,0
108,10135,9011,6037,3751,960,10345,8824,5938,3950,782,0
109,10284,8843,6094,3976,1054,10842,8901,6014,4100,1135,0
110,9958,8913,6114,4151,832,9409,8923,5940,4017,854,1
111,9843,9185,6082,4014,1013,10129,8710,6089,4231,480,0
112,9481,8685,5893,4039,1119,9596,9410,5753,3972,1042,0
113,9112,9043,6002,4149,1049,9944,9087,6274,4124,1294,0
114,10679,9140,5897,3939,887,8587,9345,5969,4059,824,1
115,10018,9043,5979,3800,1150,8676,8714,5990,3991,1134,1
116,10665,9269,5842,4225,684,9738,8836,5915,4260,940,1
117,9005,8981,5934,3948,1123,10625,8849,6097,3977,617,0
118,10135,9039,6183,3926,1169,8757,9314,5875,3942,1089,1
119,10539,8884,6137,4108,876,10776,8774,6035,3941,970,1
120,9979,8874,6003,3949,1107,10728,9290,5889,4126,851,0
121,9847,9023,6159,4002,1182,9442,9116,5911,4289,864,0
122,9374,8820,5826,4397,1034,10521,8931,6025,4001,980,0
123,11647,9033,5644,3878,1210,8734,8859,5885,3746,1035,1
124,10600,8736,6175,3955,780,8946,9026,5869,3904,1314,1
125,11459,8907,5958,4076,975,10045,9095,6241,3949,927,1
126,10064,9000,6140,4068,1009,10123,9074,5952,3811,1061,0
127,9495,9113,5890,3813,554,10898,8941,6106,3822,715,0
128,8789,9113,6086,3805,1167,9433,8879,5954,3693,1113,0
129,9491,8321,6088,4001,926,9587,8717,6149,3788,956,0
130,10181,8771,5994,3962,1321,10126,8718,6107,4210,703,0
131,10811,9059,6087,4039,1127,11070,9187,6118,4187,756,0
132,10202,9214,5819,4299,1566,9570,9142,5874,3960,1125,1
133,9062,8834,5978,4135,984,9519,9015,6053,4229,977,0
134,10535,8998,6077,4045,919,11614,9026,5990,3977,1038,0
135,8680,8779,5913,4105,1122,8914,9332,5936,4010,1252,0
136,9707,9012,6147,4041,939,9971,8884,5878,3874,832,0
137,9747,8795,5960,3857,1146,9489,9191,6115,4165,1038,0
138,8441,8937,6115,4066,1262,9624,9076,6085,4200,729,0
139,10736,8571,6064,3823,926,9621,9000,6077,4127,1027,1
140,9502,9097,5946,3997,1166,9643,8945,5925,4081,1180,1
141,9733,8981,5695,4030,742,10346,9055,6034,4007,1003,0
142,11116,9171,5758,4232,1031,10500,9160,5978,4189,984,1
143,10509,8903,5899,4013,582,10385,9172,5871,4017,615,1
144,9913,9108,6041,4224,844,10571,9189,6102,3623,808,0
145,10411,8809,5943,4066,1306,10068,8898,5880,3983,1253,1
146,10319,9200,5909,3964,1156,9973,8850,5861,3868,875,1
147,11330,9128,5935,3745,1070,9987,9227,6141,3881,1017,1
148,10221,8995,5903,4013,861,9645,8983,6219,3971,1086,1
149,10405,8773,5870,4226,1285,9396,8951,5891,3917,1123,1
150,10278,9004,6250,3853,966,8634,8881,5832,3708,1040,1
151,9698,8932,5857,4214,1109,11134,8995,5977,4045,722,0
152,10078,9036,5860,3994,887,10120,8897,5737,3671,639,0
153,11311,8955,5827,3852,885,10470,8837,5783,4094,741,1
154,9300,9013,5953,4081,1098,9822,9257,5816,4035,1171,0
155,10097,8653,5849,3890,1001,11003,9164,6045,4002,740,0
156,11090,9079,5919,4126,774,9667,8955,6114,4193,1593,1
157,9812,9006,6018,3996,883,10738,9270,6132,3820,978,0
158,9157,9103,6087,3880,1228,9438,9324,5987,4020,1129,0
159,9304,8988,6092,3941,1272,10244,9087,5974,4055,845,0
160,9688,8876,5924,4091,975,9512,8815,6076,4156,1124,1
161,9322,8879,5982,3865,885,11167,9120,6018,3852,959,0
162,9791,8922,5907,4175,899,10792,9473,6072,4012,1233,0
163,9668,9226,6088,4092,1302,8742,9210,5889,4046,986,1
164,9854,9087,6086,3822,1163,10278,8736,6060,3741,1156,1
165,10326,8753,5908,3769,928,10234,8902,6042,4127,628,0
166,10500,8826,5960,4010,977,8573,9120,6177,4107,1039,1
167,11343,8910,6191,4128,1067,10538,8861,6034,3735,1115,1
168,9945,9018,6114,3811,927,11259,8806,5847,4278,815,0
169,9743,9040,5879,4064,1333,11521,8732,6156,3790,898,0
170,11177,9198,5885,3999,1226,10881,9053,5790,3896,1480,1
171,11363,8762,6155,3868,1096,9255,9311,5975,4160,735,1
172,10035,9322,6017,3861,809,10470,9059,6047,4270,172,0
173,9734,8926,6170,3748,826,10453,8653,5977,3893,1173,0
174,8542,8747,5906,4191,1341,9762,8940,5928,4154,1245,0
175,11129,9019,6052,4139,960,9123,9136,6041,4063,987,1
176,9330,8752,6029,3732,1038,10720,8842,6018,3871,940,0
177,9101,8944,5750,4041,904,10376,9109,5973,4059,1377,0
178,12435,9297,6016,4069,1067,9307,9487,5950,3860,1293,1
179,10188,8900,5834,4185,1185,9138,8911,6212,4106,778,1
180,9973,8942,5944,3737,1023,9318,9017,6035,4016,574,1
181,7814,9049,6164,4199,889,9954,8835,5953,3784,828,0
182,9920,9105,6219,4007,1263,9414,8983,5853,3766,1195,0
183,10781,9200,6013,4189,881,10303,8951,5981,3970,811,1
184,10331,9255,6120,4012,1270,10592,8937,5927,4024,722,0
185,10730,8855,5963,3952,1325,9617,9005,6015,3975,876,1
186,11587,8947,5911,4236,1153,9460,9000,5968,3846,1060,1
187,10935,8861,5962,3844,904,11181,8894,5694,4358,898,0
188,9593,9011,5811,3963,1030,10819,8994,6244,4050,1040,0
189,10563,8753,5827,3899,1282,9846,8976,6027,4155,1080,1
190,9841,8921,6113,3875,704,11668,9215,6003,4098,957,0
191,9570,9029,5979,4003,1125,8871,8765,5877,3956,1311,1
192,7715,9027,5882,3940,779,10676,8938,5964,3950,1432,0
193,9368,9125,5583,3714,1141,11221,8835,5920,3689,1032,0
194,10390,8996,5769,3901,867,10185,8906,5992,4011,1238,1
195,11734,9075,6078,4152,777,9569,8918,6090,3940,700,1
196,10401,9133,6013,4046,491,9681,9093,6116,3830,947,1
197,10496,8955,6019,4030,978,10213,8780,5864,3908,1210,1
198,9227,9253,6059,3995,662,10235,8885,6029,4077,846,0
199,10130,8743,6033,4224,926,10303,8989,6208,4056,999,0
200,8337,8925,5965,3907,1339,12109,8882,5969,4032,1061,0
201,10388,9017,5848,3959,1191,9687,9189,5894,3980,607,1
202,10557,8985,5865,4020,1274,9455,8996,5852,4077,863,1
203,10148,9207,5868,4030,643,11596,8872,6126,3980,1206,1
204,10561,9114,5910,3911,941,9958,9287,5790,4011,1111,1
205,10249,8965,6104,3995,834,8829,8783,6147,4084,678,1
206,10608,8893,5896,3839,1412,9838,8814,5849,3971,1338,1
207,11474,9429,5983,4166,1427,10220,8988,6139,4349,1092,1
208,10890,8835,6137,4125,656,10029,8741,5930,3940,876,1
209,10026,9039,5928,4061,884,7576,9199,5993,4016,1092,1
210,9108,9044,6074,3910,1180,8214,8972,6009,4020,1314,1
211,10334,9182,5985,4203,808,11351,8820,5788,3992,978,0
212,9680,9437,6119,4130,867,10365,8969,5920,3893,537,0
213,11195,8995,6040,3956,960,10168,9191,5995,3688,1074,1
214,8714,8890,6008,4144,1007,10631,8889,5816,3992,1437,0
215,9667,8887,5983,3650,864,11498,9108,6119,3839,1191,0
216,10338,8995,5978,3851,955,10242,9039,5874,4095,884,0
217,9879,8764,5910,3833,1373,10260,9245,5974,4075,1288,0
218,9515,9304,6127,4116,1118,11221,9226,5971,3942,715,0
219,9756,9169,5879,3962,1027,10104,9393,6080,3872,788,0
220,10504,9257,5962,4012,719,10240,8894,6116,4067,682,1
221,10716,9105,6145,3801,779,10219,8383,5977,4111,1004,1
222,10528,9436,6060,3912,1250,10576,9033,6054,3794,778,1
223,11819,8591,6026,4077,888,9795,9182,6009,3998,1181,1
224,10939,8809,5946,3798,797,8773,8866,6032,4017,667,1
225,10230,9013,5703,4040,1037,10316,8619,6118,3878,823,1
226,9472,8918,6049,3735,1152,9670,8987,5960,4060,1123,0
227,12335,9083,6095,4069,910,9017,8859,5833,3844,1223,1
228,10542,8985,5895,3929,1276,8969,8904,6102,3981,1054,1
229,9453,8937,5983,3899,1451,9900,8876,6032,3795,757,0
230,10149,8954,5926,4076,1476,10351,8972,5939,3700,1317,0
231,9740,9117,6056,4046,785,9446,8778,6086,3977,1086,1
232,9780,9396,5823,3949,960,9213,8977,5948,4087,1295,1
233,9253,8806,5975,3974,887,9985,9064,5931,4036,792,0
234,10093,9157,5963,3880,1069,10118,9363,5830,3907,891,0
235,10255,9242,6062,4010,1396,11299,9151,6159,3959,1020,0
236,9138,8894,6053,4019,1342,9782,8865,6092,4220,1264,0
237,7413,9095,6107,4059,899,9186,8935,5904,4420,1153,0
238,9796,9080,6200,4111,733,10494,8721,5996,4207,1070,0
239,10024,9113,6074,3993,1056,9672,8854,5930,3837,874,1
240,10475,8614,6200,4070,1157,9282,9342,6157,4136,938,1
241,10047,8940,6135,4038,1280,9849,8925,6135,3981,885,1
242,10331,9322,6053,3845,879,10472,9014,5984,3963,738,0
243,9122,9124,6006,4175,1053,10292,9146,5886,3963,824,0
244,10569,8794,5982,4013,869,9073,8904,5940,3892,1293,1
245,10575,8873,5871,3874,697,10313,8897,6095,3853,582,1
246,10201,8905,6156,4118,949,9189,8655,6128,4081,1005,1
247,11086,9062,6294,4044,960,10702,9220,6129,4091,1041,1
248,10324,9198,5749,3961,1279,10302,9054,5905,4380,733,0
249,10211,9105,5862,3889,750,11188,9181,6258,4254,1195,0
250,10214,9019,6133,4226,970,10069,8604,6070,3855,1019,1
251,10350,8996,6260,3975,1194,10326,8779,5996,3955,1080,0
252,10848,9078,6036,4073,1008,10773,8686,5939,4122,1291,1
253,10362,8669,6119,4179,964,9999,8541,6059,3774,892,1
254,10531,9110,6011,3947,807,11257,9233,5977,3904,840,0
255,9091,9180,5744,4072,862,10292,8812,5863,4133,1164,0
256,9704,9336,5974,3964,1026,9243,8980,5986,4203,1281,1
257,11182,8871,6010,4175,885,9152,9313,5871,3997,1324,1
258,9021,9018,6008,3928,1048,11177,9246,6029,4066,894,0
259,10206,8906,5999,4280,1115,11276,9053,6109,4005,1194,0
260,10324,8635,6074,3862,1226,11244,9162,5946,3867,982,0
261,10781,8812,5796,4169,1014,10096,8768,6058,3826,1173,1
262,9721,9197,6195,4034,807,9493,9147,5994,4144,1505,1
263,10127,9167,6085,3775,1068,9268,9255,5905,4046,1025,1
264,8589,8879,6041,3927,1093,10538,9003,6058,4002,1307,0
265,10271,8885,5739,3965,814,9277,9049,5868,4096,1094,1
266,9467,8828,5908,3927,719,10105,9142,6250,4139,799,0
267,9809,8977,5929,3933,958,10864,9047,5968,4406,1117,0
268,9050,8966,6169,3976,1102,9508,9236,6067,4161,631,0
269,10308,8822,5732,3917,1100,10708,8989,6070,3836,1137,1
270,10533,8837,5905,3767,1253,10961,8630,5909,3824,607,0
271,9756,9081,5905,4037,905,11856,8798,5961,3753,618,0
272,11460,9037,5775,4251,1330,9568,8966,6010,3920,954,1
273,10536,8757,5836,3976,730,9000,8956,6081,4078,1022,1
274,10759,9066,6134,4090,1113,8607,8991,6111,3867,807,1
275,11640,9035,6194,4030,1034,9740,8912,6034,3931,1026,1
276,9479,8973,5848,3912,1290,9261,8958,5880,4089,1140,0
277,10647,9093,6257,3938,1017,10087,8921,5832,3696,742,1
278,10789,9125,6192,3903,948,9671,9293,5964,4093,1172,1
279,9995,9479,5963,3716,1087,10324,9137,5926,4035,929,0
280,10255,8871,5981,3887,1217,10889,9059,5700,3970,1032,0
281,9191,8875,6029,3844,1196,10578,9061,5992,4082,900,0
282,10376,8882,6067,3941,887,9799,8951,6263,3814,766,1
283,9439,8779,5758,3928,852,11293,9107,6178,3869,744,0
284,10651,8935,6376,3949,896,8460,8790,5815,3986,871,1
285,9351,9138,5979,3992,805,11177,9004,6084,3813,986,0
286,10256,9073,5912,4276,923,9677,8985,5838,3828,1235,1
287,9323,9134,6110,4226,942,10869,9013,5850,4298,728,0
288,9803,8693,6030,3932,1194,9510,9309,6078,4000,1065,1
289,8758,8992,5942,3775,872,10679,8744,6252,4186,1109,0
290,10103,9230,5996,4053,995,9908,9176,5937,4105,1303,1
291,10788,9087,5904,4155,980,9387,8753,5949,3989,1004,1
292,10147,9153,5987,3954,1405,10657,9013,5989,4078,1093,0
293,8587,8666,6045,3675,1024,10740,9186,5803,3936,1201,0
294,9504,8814,6028,3984,1091,10084,8857,5942,4073,1221,0
295,11325,9110,5888,3851,836,8623,9034,6152,4151,1200,1
296,11448,9056,5868,4181,1087,10886,9166,5935,3840,1181,1
297,9060,8949,6119,4188,919,9422,8714,5942,3900,623,0
298,9707,9133,6026,3917,999,10382,9004,5984,3992,1018,0
299,10283,9388,5988,3958,618,10237,9159,6011,4035,1132,1
300,10255,8812,5964,4151,792,10614,9018,6103,3963,735,0
301,9536,9108,6030,3908,757,9836,9015,6058,3967,1437,1
302,9237,9333,5867,4222,1151,10867,9055,5921,4148,1193,0
303,9856,8855,5932,4121,1341,10865,8578,6028,4019,881,0
304,10808,8903,6013,3966,630,9376,9146,6109,3913,1044,1
305,10019,8561,5746,3934,856,7996,8800,6006,3960,1125,1
306,9481,8788,5997,3966,833,10496,9099,5896,4072,943,0
307,9597,8981,6289,4125,1070,8965,8983,6181,4052,1048,1
308,11292,9202,6082,3841,1036,10227,8967,5993,3863,946,1
309,9642,8877,6088,4060,1254,11103,9073,5994,3980,1243,0
310,10611,8759,5890,4048,1026,10053,8982,6059,4095,541,1
311,11177,8619,5942,4207,1196,9584,8789,5940,3921,1358,1
312,10355,9061,6071,4114,1019,9949,8895,5922,3998,1197,1
313,9663,9051,5811,3999,1102,8602,9466,5924,3991,827,1
314,9968,8991,5988,3996,1009,10761,9028,5862,4002,1086,0
315,9606,9060,6126,4036,779,9441,8954,6040,4162,1016,0
316,10982,9026,5858,4040,1034,9871,9034,5854,4000,998,1
317,9880,9118,6056,4056,864,10298,9260,5984,4141,948,0
318,11240,9152,6107,3756,1114,9233,8929,5691,3898,1112,1
319,9551,9255,6082,3971,1314,8729,8916,6069,4170,983,1
320,9482,8990,6107,3919,1002,10592,8976,6104,4201,853,0
321,10115,8839,5953,4119,1072,9375,9108,5957,3819,1090,1
322,10019,8726,6040,3943,800,10323,8779,5947,3895,916,0
323,9596,8854,6121,4012,1478,8993,9092,5967,4125,906,0
324,8735,8662,5996,3802,819,11133,8831,6223,3924,1038,0
325,10024,9119,5991,3791,1117,9227,8892,6125,3955,1023,1
326,9427,9340,6059,4210,1162,9837,8919,5836,3805,1012,1
327,10866,8730,5937,3944,1126,9407,9204,6010,4228,1399,1
328,9238,8869,6256,4023,1009,8876,9390,5839,3776,1260,1
329,10901,8919,5766,4256,1216,10581,9193,5912,4109,875,1
330,9481,8412,6057,4302,529,9266,9073,5861,3863,1155,1
331,10234,8697,5997,3974,872,11088,9040,6021,3842,1120,0
332,10719,8766,5831,4042,1248,10224,9277,6107,3865,1046,1
333,9585,8710,6111,3967,1177,10378,8967,6145,3831,1027,0
334,10444,8952,5953,4053,739,8681,9234,5974,4154,716,1
335,9930,9061,5849,4147,1166,10413,9305,5900,4001,975,0
336,9092,8966,5866,4166,1094,10011,9127,5908,3921,903,0
337,9784,9225,6019,3868,1320,10440,9026,5900,3909,1024,0
338,11296,8784,5844,4184,928,9721,9058,6134,4042,1137,1
339,9829,8764,6259,3884,693,9129,9118,5869,3852,881,1
340,9346,8671,6223,4041,585,9391,8970,5845,4188,1216,0
341,9957,9130,6007,3926,1201,9792,8862,6242,3813,1285,1
342,10264,8965,6104,3760,821,12060,8887,5779,3935,1167,0
343,10764,9005,6177,4127,750,10397,9025,5983,4002,1079,1
344,10915,8898,5853,3942,1000,11306,8895,5883,3835,985,0
345,10080,9251,5926,4000,1016,9453,8806,5841,4030,1151,1
346,10932,8757,6014,4235,864,9823,9057,6316,3947,972,1
347,9389,8996,5985,4028,713,10724,8839,5837,4283,789,0
348,8124,9008,5684,3903,811,10996,9153,5990,4087,908,0
349,9623,9326,6024,4124,976,9641,9119,5925,3837,765,1
350,9587,8957,5921,4252,949,9930,8754,5902,4122,913,0
351,8147,9291,6106,3937,1098,11599,8861,6101,3776,1233,0
352,10450,8746,6057,3775,778,9334,8953,5990,4114,1037,1
353,9373,8745,6071,4137,774,10497,8689,6020,4049,980,0
354,9819,9336,6248,3894,935,10304,9061,6079,3906,901,0
355,8730,8876,5855,4109,993,9293,9098,6061,4174,882,0
356,10438,9253,5906,3672,1090,10657,8839,5874,4153,1064,0
357,11513,8778,6125,4012,751,8708,9192,6123,3938,659,1
358,9298,9157,5945,4109,954,10077,9020,5949,3941,854,0
359,9910,8921,6031,4010,830,10360,8872,5998,3971,1408,1
360,11559,9123,5808,4026,1072,11012,9105,5972,4292,1028,1
361,10747,9102,5907,4144,1239,9975,8917,6045,4065,1130,1
362,11530,9157,6027,4038,1240,10704,8768,6130,3976,1025,1
363,9996,8771,5991,4067,1060,8572,9225,6003,4026,859,1
364,9878,8907,5983,4233,1025,8933,8967,5861,4025,955,1
365,9592,9232,6063,3986,904,10361,9105,5909,4072,776,0
366,11148,8710,6154,4060,1165,9870,9094,6141,4166,1347,1
367,8971,9023,6291,4060,1138,10616,8624,5886,4110,775,0
368,10246,8689,5893,4221,1342,9248,9100,5879,4011,945,1
369,9963,9312,5839,4140,938,9172,9135,5894,4180,1005,1
370,11801,9169,5974,3993,866,10289,9101,5956,4015,796,1
371,9514,9182,6068,4127,813,10908,9186,6117,3926,592,0
372,8793,9017,6014,4157,971,10505,9071,5812,3989,609,0
373,10186,9136,6081,3877,822,9485,9393,5847,4106,1319,1
374,9968,8924,5984,3892,1341,8944,8578,6281,3706,1062,1
375,9329,9082,6106,4001,1063,10458,8897,6114,3966,1067,0
376,10106,8932,6123,3643,1027,9157,9259,6093,3609,971,1
377,9780,8762,5793,3808,1034,10481,9217,6082,3941,1143,0
378,9457,9024,6045,4143,980,10552,8749,6082,4069,954,0
379,10401,8812,6001,4272,959,10247,9426,6229,4026,850,0
380,9735,9155,6137,4139,768,10077,8875,5993,3915,944,1
381,8532,9301,5932,4013,744,8473,8759,5970,3867,1389,1
382,7879,8979,6011,3968,923,8808,8846,5881,4048,749,0
383,9536,8711,5802,4095,943,9484,8951,5894,3744,1190,1
384,11163,9099,6078,4169,640,9035,9098,6178,4057,756,1
385,10671,9148,5767,4255,936,10622,9070,6047,3608,1075,1
386,10972,8956,6061,4073,889,10011,8738,5848,3982,833,1
387,10786,9031,6118,3955,1169,10335,8977,5951,3994,1088,1
388,10253,9083,5867,3807,978,9433,9031,6054,4136,1011,1
389,8794,8930,6056,4125,747,11239,8908,6023,4040,1111,0
390,10164,8771,6193,3923,685,9717,8778,6093,3973,696,1
391,11278,8867,6028,4068,1225,9143,9011,5941,3991,985,1
392,7283,8997,5917,4021,853,9928,8683,5969,4138,1259,0
393,9375,8696,5934,3787,1240,8809,8947,5960,4090,1005,1
394,10882,8787,5982,3953,788,10772,8550,5820,4062,1202,1
395,10423,9199,5818,4017,978,10631,8944,5952,4049,1080,0
396,10632,8957,6062,3756,864,9295,8833,6046,3901,1029,1
397,10366,9094,6075,4049,1144,10908,8895,6113,3924,1053,0
398,10431,9123,5766,4121,1008,10110,9170,5836,3870,818,1
399,10012,9326,6059,4253,932,11411,8932,5902,3679,1072,0
400,9267,8895,6155,4052,1066,11010,8725,5970,4073,1081,0
401,9019,8896,5842,4160,951,9516,9107,6003,3722,717,0
402,10029,8855,6068,3999,950,9869,8955,5949,4066,1010,0
403,9663,9336,6201,3769,1133,11844,9115,6014,3948,1207,0
404,9281,9019,6026,3962,1773,9696,9446,6116,3809,669,0
405,10334,9185,6016,4090,1305,12037,8952,5946,3921,744,0
406,10123,9124,5955,3851,1167,11149,9095,6082,3938,1235,0
407,11171,8738,6081,4077,1243,10210,8905,6076,4149,964,1
408,9103,8850,5939,3993,1154,8763,9214,6036,4022,1259,1
409,9586,8806,5828,4221,1123,9823,9165,5941,3989,1215,0
410,9940,8999,6045,4147,1194,10537,9301,6154,4080,770,0
411,8874,8663,6010,3935,772,9996,9242,5957,3839,582,0
412,9772,8438,6070,3872,944,9234,8843,6059,3691,1015,1
413,9433,9055,6053,4212,961,8954,9043,6020,4032,1115,1
414,8282,9022,5966,3923,1053,9464,9172,5927,4182,1161,0
415,9773,8999,6217,3751,1142,8552,9131,6154,3878,687,1
416,9573,9367,5932,4015,966,10396,9044,6198,3773,1205,1
417,10906,9038,6102,4082,509,8695,9091,5999,4131,1314,1
418,9517,8934,6008,3969,1202,9769,9235,6053,4090,754,0
419,10446,9132,5973,4253,1234,10085,8679,6071,4000,978,1
420,10114,8703,5954,3977,1031,10061,8974,5969,3882,941,0
